"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"25.10.2020","0.21500","0.21900","0.21950","0.21354","6.99M","-1.83%"
"24.10.2020","0.21900","0.22180","0.22210","0.21742","6.11M","-1.18%"
"23.10.2020","0.22162","0.22310","0.22540","0.21592","8.96M","-0.79%"
"22.10.2020","0.22338","0.21521","0.22746","0.21521","15.31M","3.80%"
"21.10.2020","0.21520","0.20831","0.21980","0.20781","11.66M","3.31%"
"20.10.2020","0.20831","0.21411","0.21488","0.20195","13.69M","-2.71%"
"19.10.2020","0.21411","0.21401","0.21673","0.20954","7.17M","0.05%"
"18.10.2020","0.21401","0.21449","0.21789","0.21352","4.74M","-0.22%"
"17.10.2020","0.21449","0.20710","0.21581","0.20511","9.18M","3.66%"
"16.10.2020","0.20691","0.21322","0.21380","0.20488","7.91M","-2.83%"
"15.10.2020","0.21292","0.21471","0.21510","0.20955","6.47M","-0.83%"
"14.10.2020","0.21471","0.21706","0.21930","0.21138","6.41M","-1.08%"
"13.10.2020","0.21706","0.22032","0.22298","0.21406","8.38M","-1.48%"
"12.10.2020","0.22032","0.22181","0.22499","0.21388","14.24M","-0.68%"
"11.10.2020","0.22183","0.22012","0.22324","0.21600","11.94M","0.78%"
"10.10.2020","0.22012","0.22210","0.22844","0.21944","9.54M","-0.89%"
"09.10.2020","0.22210","0.21739","0.22525","0.21423","8.72M","1.99%"
"08.10.2020","0.21777","0.21468","0.21891","0.20614","8.29M","1.44%"
"07.10.2020","0.21468","0.21063","0.21517","0.20563","7.64M","1.92%"
"06.10.2020","0.21063","0.22156","0.22215","0.20690","10.16M","-4.93%"
"05.10.2020","0.22156","0.22350","0.22647","0.21770","7.19M","-0.87%"
"04.10.2020","0.22350","0.22028","0.22440","0.21670","4.93M","1.46%"
"03.10.2020","0.22028","0.22391","0.22499","0.22005","4.86M","-1.62%"
"02.10.2020","0.22391","0.23031","0.23290","0.21264","13.51M","-2.78%"
"01.10.2020","0.23031","0.23940","0.24727","0.22427","12.84M","-3.79%"
"30.09.2020","0.23939","0.23755","0.24273","0.23375","11.94M","0.78%"
"29.09.2020","0.23755","0.23418","0.23792","0.22870","10.89M","1.44%"
"28.09.2020","0.23418","0.22937","0.24278","0.22937","14.02M","2.10%"
"27.09.2020","0.22937","0.23275","0.23589","0.22223","6.90M","-1.45%"
"26.09.2020","0.23275","0.23219","0.23671","0.22938","7.76M","0.24%"
"25.09.2020","0.23219","0.22589","0.23494","0.21911","12.17M","2.78%"
"24.09.2020","0.22591","0.21240","0.22787","0.21101","13.14M","6.36%"
"23.09.2020","0.21240","0.22850","0.23233","0.21135","15.93M","-7.04%"
"22.09.2020","0.22850","0.21312","0.22876","0.21168","13.47M","7.21%"
"21.09.2020","0.21312","0.23759","0.24338","0.20744","25.70M","-10.30%"
"20.09.2020","0.23759","0.24260","0.24292","0.22966","12.89M","-2.07%"
"19.09.2020","0.24260","0.24345","0.24748","0.24112","8.94M","-0.27%"
"18.09.2020","0.24327","0.24971","0.25516","0.23919","15.45M","-2.58%"
"17.09.2020","0.24971","0.25084","0.25711","0.24595","14.03M","-0.45%"
"16.09.2020","0.25085","0.24659","0.25597","0.23782","11.59M","1.84%"
"15.09.2020","0.24631","0.25638","0.25871","0.24278","8.94M","-3.93%"
"14.09.2020","0.25638","0.25771","0.26289","0.24994","10.71M","-0.52%"
"13.09.2020","0.25771","0.27390","0.27418","0.24950","15.08M","-5.91%"
"12.09.2020","0.27390","0.26385","0.27701","0.26112","14.02M","3.81%"
"11.09.2020","0.26385","0.26588","0.26792","0.25602","10.70M","-0.76%"
"10.09.2020","0.26588","0.25676","0.26912","0.25451","16.57M","3.55%"
"09.09.2020","0.25676","0.25101","0.26380","0.24118","16.92M","2.33%"
"08.09.2020","0.25090","0.25274","0.26441","0.24433","15.90M","-0.73%"
"07.09.2020","0.25274","0.25802","0.26171","0.23727","18.02M","-2.05%"
"06.09.2020","0.25802","0.23699","0.26073","0.22563","20.83M","8.87%"
"05.09.2020","0.23699","0.26469","0.27039","0.22635","29.17M","-10.47%"
"04.09.2020","0.26469","0.25238","0.27445","0.24865","40.41M","4.88%"
"03.09.2020","0.25238","0.31655","0.31975","0.23651","41.23M","-20.27%"
"02.09.2020","0.31655","0.33529","0.33894","0.30258","28.90M","-5.59%"
"01.09.2020","0.33529","0.34784","0.35189","0.33209","28.76M","-3.61%"
"31.08.2020","0.34784","0.34639","0.35683","0.33783","20.96M","0.42%"
"30.08.2020","0.34639","0.35172","0.36337","0.34420","23.21M","-1.51%"
"29.08.2020","0.35170","0.35041","0.36767","0.34692","34.70M","0.35%"
"28.08.2020","0.35046","0.32631","0.35270","0.31976","31.83M","7.40%"
"27.08.2020","0.32631","0.35054","0.35456","0.31776","44.83M","-6.91%"
